Comp_BinY,n,power_wh_empirical_dist,power_wh_naive_dist,power_wh_VCO1,power_wh_VCO2,power_wh_VCO3,power_wh_VCO4,power_wh_VCO5,power_wh_VCO6,power_wh_VCO7,power_wh_VCO8,power_wh_VCO9,scena
2,500,0.08324335202605014,0.2507506802001328,0.12503210014877855,0.1007935305955862,0.10173734921687468,0.12083408135198538,0.11603394321862852,0.11347516229736246,0.11394072253479914,0.12299864124160814,0.12046993454808141,1
3,500,0.08297921130818718,0.24951309954713757,0.12511189716155152,0.1004954346294648,0.10144459678593623,0.12075499054525318,0.1158521397002861,0.11324596232285909,0.11372212777957674,0.12299124517927353,0.12038028173937529,1
4,500,0.08305625739848138,0.24989848773788678,0.12526864139512203,0.10060395610258116,0.10155411405397557,0.12090304756649815,0.11599052163056033,0.1133792028537798,0.11385530521323992,0.12314376598355675,0.12052762729625972,1
2,1000,0.1263073747015614,0.4455662589409473,0.2079280495486228,0.16030550446604314,0.1621501430245095,0.19965856738492324,0.19020797077070625,0.18517425056235207,0.18608984558330383,0.20392218142450874,0.19894138085087099,1
3,1000,0.125801339578028,0.4433887729953724,0.20808525174500217,0.15972315461399622,0.1615778430415422,0.1995027956215401,0.18985020834110494,0.1847235423692306,0.18565992957666377,0.20390761194994078,0.19876481451878947,1
4,1000,0.12594892144282954,0.4440672848708569,0.20839404216660964,0.1599351435635152,0.16179192393861003,0.1997943995716226,0.19012252208488037,0.18498554803642456,0.18592184974246667,0.20420806330750638,0.19905500459125364,1
2,500,0.2561430175668982,0.3044036675938891,0.2878220763287419,0.2787929841896236,0.27947634400414795,0.28958915588180345,0.28158313354719255,0.29078654974967155,0.29083399840196134,0.29228110429069504,0.2910621794935562,2
3,500,0.24281443050941687,0.2901302762188891,0.2875177619348851,0.26553147800957133,0.2663844763376507,0.27908406402522856,0.2689207550560984,0.27963606192296386,0.2799661180560128,0.28455101929573534,0.28055001785890354,2
4,500,0.2399227081761161,0.2906102645078791,0.28616886071447567,0.26287558685184065,0.2636635937741453,0.2768135411015847,0.26629977858169407,0.2774831122516678,0.27763141403236075,0.282710265415151,0.27842440603022695,2
2,1000,0.4550064967726593,0.5359073249275416,0.5088572944441528,0.4937949530902205,0.494943035971969,0.5117778814286337,0.4984742415240531,0.5137518007470963,0.5138299353903213,0.5162097941548486,0.5142055950941586,2
3,1000,0.43153309709160725,0.5126704366353655,0.5083534259052215,0.4712558648702003,0.47272030081285527,0.4942841449210575,0.4770627631257296,0.4952111807051705,0.495765071534691,0.5034273477975078,0.49674420019640886,2
4,1000,0.426379296975012,0.5134614514810559,0.5061167871499861,0.4666834220767776,0.46804208736675706,0.49046193986117037,0.4725749803661715,0.49159060892253653,0.49184042443607406,0.5003582646775373,0.4931751734144936,2
2,500,0.27975156582902155,0.3146376862410053,0.3000279453906702,0.29732128663721735,0.2961805303417285,0.2794778373245038,0.29838408937166133,0.30593780832738765,0.30582288139383684,0.3015442099248278,0.3058343041908078,3
3,500,0.22999524566704915,0.30786694446281615,0.2268371815906204,0.22997217348969745,0.22997582266128583,0.23034434119636304,0.22999107464256147,0.2290396270751089,0.2290386803417024,0.2295780865196652,0.22907040313789073,3
4,500,0.18576811318691788,0.3087274648592441,0.18525066053520942,0.18600774487275193,0.1859583149327659,0.18598831369242785,0.18600541685767202,0.1858747570981259,0.185705980633579,0.18597565039325123,0.18588476319598188,3
2,1000,0.4954050511420579,0.5522006653087658,0.5288467835656617,0.5244513873632398,0.522592501204623,0.49494554338854135,0.5261798395675453,0.538369476196474,0.5381852690288189,0.5312997312586967,0.5382035794529626,3
3,1000,0.4085251270410461,0.5414557303581187,0.40279430904232255,0.408483347162555,0.4084899552927288,0.4091571215850805,0.40851757410564005,0.40679356900701646,0.4067918524409083,0.40776951963220565,0.4068493693165665,3
4,1000,0.32621452807724044,0.5428288638781089,0.3252276253620423,0.3266713962032264,0.3265771644820115,0.32663435372998706,0.32666695824693504,0.3264178622357786,0.32609605257844954,0.32661021278063096,0.3264369394418657,3
2,500,0.12927330376594837,0.28451280427401604,0.13881613443301247,0.11073790090513826,0.11182880308247659,0.13394556822795253,0.1283796136183448,0.12541420598615574,0.12595366063439445,0.13645660631448994,0.13352319890410047,4
3,500,0.1274839191426876,0.27884840408224504,0.1371595712054251,0.10914073220469393,0.11021889887140635,0.13219350095350918,0.12660812425816997,0.12364061440951486,0.12418271503549631,0.13474213581673525,0.13176651147558546,4
4,500,0.12773422066835283,0.27953059817316706,0.1374396384254487,0.10933659339600516,0.11041700662194483,0.13245843974686633,0.12685617242648253,0.1238796963307692,0.12442229201703045,0.13501484353781162,0.13203019050417683,4
2,1000,0.21628288299912624,0.5033637301911308,0.23506511397618082,0.17979388692465753,0.18193753914292454,0.2254830999284372,0.21452253432657423,0.20868080848593373,0.20974354766799597,0.23042453228735937,0.22465167820851323,4
3,1000,0.21275812802249783,0.4938881107922966,0.23180737986161223,0.17665708821310064,0.1787743520055091,0.2220338073866424,0.21103284603277578,0.20518682311169392,0.2062547495304267,0.22705093694818296,0.22119304556651964,4
4,1000,0.2132511999915351,0.4950341294585953,0.23235825025242388,0.1770416402621048,0.1791634925694728,0.2225554566714886,0.21152149710202375,0.20565780679622073,0.2067267165938626,0.22758763357888423,0.2217122479293063,4
2,500,0.47718078631112304,0.495577514278214,0.4698461068184749,0.45558982336215786,0.45667472814007504,0.47261620804128107,0.4600133948811205,0.47448950845043875,0.47456367840285246,0.47682344418349326,0.4749202958157347,5
3,500,0.3597618948796455,0.3691772350825991,0.3658480925372627,0.3376688244744993,0.3387673114934975,0.3550725535152228,0.34203109850254093,0.35577913752604723,0.3562015386376252,0.362062467622861,0.35694864598266696,5
4,500,0.35895266653885405,0.37160110026137516,0.3659143592885502,0.3358911928204047,0.33691211596227233,0.3538954268146842,0.3403249056015335,0.35475742666583693,0.35494831212868494,0.361477370028614,0.35596877783729153,5
2,1000,0.7684024028948924,0.7878314300775735,0.7603755297354005,0.7443126199875543,0.7455564984063632,0.7634259403719323,0.7493621414347994,0.7654758019725472,0.7655567468675538,0.7680150587490068,0.7659457096722471,5
3,1000,0.6202996666809304,0.6337291367550884,0.629011625288793,0.5877265289710559,0.589381095600666,0.6135100599538351,0.5942755431811159,0.6145374013366682,0.615150826529744,0.6236060788306667,0.6162344687455418,5
4,1000,0.6191327911715564,0.6371425013810723,0.6291058583091482,0.5850412917336154,0.5865846348806311,0.6117951911239036,0.5917209217827809,0.613051388912992,0.6133292612195752,0.622766702089752,0.6148128707180133,5
2,500,0.5135751524740294,0.5259731191666963,0.5032547243467217,0.4989886971536412,0.4971854288408388,0.4704272664689293,0.5006659158620967,0.512507611962915,0.5123284862191354,0.5056367937929644,0.5123462912981032,6
3,500,0.23853189679292247,0.32197566282429546,0.23689710592997587,0.2401960650650563,0.24019990482106476,0.2405876665452606,0.24021595335693993,0.23921479359836714,0.23921379737728507,0.23978139239998308,0.2392471783648603,6
4,500,0.19300290489894434,0.32200655398152284,0.19261441224999304,0.19340973370008446,0.19335780761490395,0.19338932127730263,0.19340728812449776,0.1932700301101824,0.19309273000636845,0.19337601849835495,0.19328054152334007,6
2,1000,0.8058742841846284,0.8177548745502878,0.7956439149036219,0.7913240966772239,0.789482018787446,0.7610174001998455,0.7930288346053135,0.8048304592816842,0.8046549880517777,0.7980328118256292,0.8046724340514969,6
3,1000,0.4238929019777252,0.5636920734105505,0.4209640644218642,0.4268674059733134,0.4268742609248741,0.4275663213881834,0.42690291127962315,0.4251143518251281,0.42511257081728243,0.426126887276231,0.42517224675879484,6
4,1000,0.3399606502278615,0.5637401100581888,0.3392250528312113,0.34073065031913874,0.34063238847507116,0.34069202369150414,0.34072602257557805,0.3404662715126054,0.3401306890170386,0.3406668502728227,0.3404861649223497,6
2,500,0.08373496863608826,0.25044328151126827,0.12490706926216404,0.10070312878056688,0.10164562128800782,0.12071511910315087,0.11592188903719261,0.11336677534261859,0.11383166918512869,0.12287655284224508,0.12035149757224535,7
3,500,0.08346049497634254,0.2491699522319563,0.12497140533857823,0.10039441721076368,0.10134208301636836,0.12062156928587886,0.11572663834149613,0.11312465305439724,0.11360005357980778,0.12285419837769426,0.12024746721004319,7
4,500,0.08354011626814228,0.24956306402033776,0.12513130510329296,0.10050521967391744,0.10145391571355532,0.12077262524636846,0.11586784375238687,0.11326062423319103,0.11373598017055842,0.12300979839735887,0.12039779821662919,7
2,1000,0.12724975003134137,0.4450257773299655,0.20768173564666023,0.1601288851537664,0.16197081202121977,0.19942426812310948,0.18998746286098037,0.1849611099736738,0.18587536397807114,0.2036816807582328,0.19870812607670466,7
3,1000,0.12672352680114127,0.4427843010954229,0.20780847925372029,0.15952583963302006,0.1613774673658285,0.19924002153927955,0.18960324946487322,0.184485008127123,0.18541985547195575,0.20363764511919352,0.19850324710420078,7
4,1000,0.12687615479496342,0.4434767621795895,0.20812348590851684,0.15974226830109964,0.16159605874367647,0.1995375275850799,0.1898811109714613,0.184752373171877,0.18568717259275466,0.20394415987403136,0.19879931211684898,7
2,500,0.2576809534703531,0.30514773121243244,0.2885232510123112,0.2794703791578828,0.2801555487599908,0.2902949502720315,0.2822679076293463,0.29149546800433057,0.29154304033597783,0.2929939142401116,0.2917718160868408,8
3,500,0.2440077785489913,0.2904935491792867,0.2878775262909486,0.26586122972562054,0.26671540787833187,0.27943241622563897,0.2692551875757561,0.2799851649916722,0.28031566983246325,0.2849067839400507,0.2809003629647525,8
4,500,0.24128659390463372,0.2911948683546497,0.2867438782452837,0.26339940240178494,0.2641891655565608,0.277368176200835,0.26683121389263237,0.278039214496154,0.27818784106016814,0.28327777728133263,0.27898256866582816,8
2,1000,0.4576846783879208,0.5371023406992812,0.5100172527994635,0.4949330204061494,0.49608282949917715,0.5129418922481697,0.49961928534492184,0.5149185145210189,0.5149967555573466,0.5173798329416807,0.5153729261448401,8
3,1000,0.4336536865517411,0.513269167113766,0.5089490771023664,0.4718222230866794,0.4732879083270817,0.4948692745366323,0.47763403143809563,0.49579702615216753,0.49635134317846635,0.5040193990449293,0.49733122248536304,8
4,1000,0.42881276582406747,0.5144239747395424,0.5070708719597069,0.46758676313788655,0.4689473234847457,0.49139695561972346,0.47348646536543376,0.49252704790237145,0.49277717742230104,0.5013055045590395,0.49411359793562426,8
2,500,0.2789828685143772,0.314435193029906,0.299835229162551,0.2971304058638098,0.2959904253389875,0.2792992349234351,0.29819248700774365,0.3057411103345003,0.30562626049003827,0.30135046870843385,0.3056376756243703,9
3,500,0.23012503622726901,0.3080162943522453,0.22694341139480478,0.23008014222065398,0.23008379341375604,0.23045251606344286,0.23009905384403,0.22914707900653664,0.22914613174826545,0.2296858369039735,0.22917787213120833,9
4,500,0.18614288667451642,0.30937569779886787,0.18560911018407433,0.18636805818871716,0.1863185065844964,0.18634857918175704,0.18636572444362973,0.18623474308043303,0.1860655511716052,0.18633588471379597,0.18624477380762253,9
2,1000,0.494114101826812,0.5518812853091304,0.5285345343784789,0.5241406067836943,0.5222823534800767,0.49464560948248293,0.5258684767948079,0.5380541811012982,0.5378700310696057,0.5309866795969397,0.5378883358111868,9
3,1000,0.4087601318338965,0.5416942047850842,0.40298747431324333,0.4086788493450733,0.4086854601686746,0.40935289814069936,0.4087130902382888,0.4069883808405564,0.4069866635715298,0.4079647305750211,0.4070442039980404,9
