Ordinal Composite Type,True Settings,True Correlation,True Model,Component Prev Type,WH-Empirical,D1-Gaus-HC,D1-Gaus-LC,CD-0,Naive
Rank 2,D2-HC,HC,D2,High,0.2010797621845755,0.20122160427393848,0.2010748360714845,0.2003860579950671,0.33593061886835085
Rank 2,D2-LC,LC,D2,High,0.1972145691714888,0.19765045557140049,0.197506913647538,0.1968332794690757,0.3295772552124533
Rank 2,D2-HC,HC,D2,Low,0.08260882015646627,0.095137968954845,0.10682042391605616,0.1176766777674842,0.2313356808583384
Rank 2,D2-LC,LC,D2,Low,0.1251236530420935,0.11101752525381813,0.1259035542358902,0.13978731027032035,0.2852190069501376
Rank 2,D2-HC,HC,D2,Moderate,0.23368699518419336,0.2572667185420211,0.27152717104422064,0.2800094385676951,0.28434767373579833
Rank 2,D2-LC,LC,D2,Moderate,0.37064528471239894,0.3473684950017584,0.36685391599742734,0.3783653276455674,0.3842292739955807
