Ordinal Composite Type,True Settings,True Correlation,True Model,Component Prev Type,WH-Empirical,D1-Gaus-HC,C1-Gaus-HC,D1-Clay-HC,D1-Fran-HC,D1-Gaus-LC,C1-Gaus-LC,D1-Clay-LC,D1-Fran-LC,CD-0,Naive
Rank 1,D2-HC,HC,D2,High,23.3,23.3,23.3,23.4,23.3,23.2,23.2,23.3,23.2,23,31.2
Rank 1,D2-LC,LC,D2,High,23.2,23.3,23.3,23.3,23.3,23.2,23.2,23.3,23.2,23,31.2
Rank 1,C1-Gaussian-HC,HC,C1-Gaussian,Low,8.3,10,10.1,12.1,11.6,11.3,11.4,12.3,12,12.5,25
Rank 1,C1-Gaussian-LC,LC,C1-Gaussian,Low,12.7,10.9,11,13.2,12.7,12.4,12.4,13.5,13.2,13.7,27.9
Rank 1,D1-Clayton-HC,HC,D1-Clayton,Low,7.4,11.2,11.3,13.6,13,12.7,12.8,13.9,13.6,14.2,28.9
Rank 1,D1-Clayton-LC,LC,D1-Clayton,Low,11.1,11.3,11.4,13.7,13.1,12.8,12.8,13.9,13.6,14.2,29.1
Rank 1,D1-Frank-HC,HC,D1-Frank,Low,8.6,8.5,8.6,10.1,9.7,9.5,9.6,10.3,10.1,10.4,19.8
Rank 1,D1-Frank-LC,LC,D1-Frank,Low,13.5,11.1,11.2,13.4,12.8,12.5,12.6,13.7,13.4,13.9,28.4
Rank 1,D1-Gaussian-HC,HC,D1-Gaussian,Low,8.3,10,10.1,12.1,11.6,11.3,11.4,12.3,12,12.5,24.9
Rank 1,D1-Gaussian-LC,LC,D1-Gaussian,Low,12.7,10.9,11,13.2,12.7,12.4,12.4,13.5,13.2,13.7,27.9
Rank 1,D2-HC,HC,D2,Low,8.3,9.5,9.6,11.4,10.9,10.7,10.7,11.6,11.3,11.7,23.1
Rank 1,D2-LC,LC,D2,Low,12.5,11.1,11.2,13.5,12.9,12.6,12.6,13.7,13.4,14,28.5
Rank 1,C1-Gaussian-HC,HC,C1-Gaussian,Moderate,24.3,26.6,26.6,27.9,26.9,28,28,28.5,28.1,28.8,29
Rank 1,C1-Gaussian-LC,LC,C1-Gaussian,Moderate,36,33.8,33.9,35.5,34.2,35.6,35.6,36.2,35.7,36.6,36.9
Rank 1,D1-Clayton-HC,HC,D1-Clayton,Moderate,25.7,30.5,30.6,32,30.9,32.1,32.1,32.7,32.2,33,33.3
Rank 1,D1-Clayton-LC,LC,D1-Clayton,Moderate,38.9,37.1,37.3,39,37.6,39.1,39.2,39.8,39.3,40.2,40.6
Rank 1,D1-Frank-HC,HC,D1-Frank,Moderate,20.7,22.3,22.4,23.4,22.6,23.4,23.5,23.9,23.5,24.1,24.3
Rank 1,D1-Frank-LC,LC,D1-Frank,Moderate,33.7,31.6,31.7,33.2,32,33.2,33.3,33.8,33.4,34.2,34.5
Rank 1,D1-Gaussian-HC,HC,D1-Gaussian,Moderate,24.4,26.6,26.7,27.9,26.9,28,28,28.5,28.1,28.8,29
Rank 1,D1-Gaussian-LC,LC,D1-Gaussian,Moderate,35.9,33.7,33.8,35.5,34.2,35.5,35.6,36.2,35.7,36.6,36.9
