Ordinal Composite Type,True Settings,True Correlation,True Model,Component Prev Type,WH-Empirical,D1-Fran-HC,D1-Gaus-HC,D1-Fran-LC,D1-Gaus-LC,CD-0,Naive
Rank 1,D1-Frank-HC,HC,D1-Frank,High,0.24202679947116887,0.2419007803566964,0.2418807302843084,0.24092412135614383,0.24089147291375249,0.2385548939595792,0.3242937542202706
Rank 1,D1-Frank-LC,LC,D1-Frank,High,0.24271764255447328,0.2444139631492432,0.24439367223904016,0.24342556723895264,0.2433925262549164,0.2410278220147711,0.32774791806739256
Rank 1,D1-Frank-HC,HC,D1-Frank,Low,0.0858295594302051,0.097190398315585,0.08542771300320058,0.10064506836898646,0.09519951196525411,0.1042495326926298,0.19849230242860544
Rank 1,D1-Frank-LC,LC,D1-Frank,Low,0.1345641129326718,0.1284127763021233,0.11058911717128636,0.1336774892014431,0.1253842928911597,0.13918209558789152,0.28375062757999314
Rank 1,D1-Frank-HC,HC,D1-Frank,Moderate,0.20661093875098815,0.22570281150567523,0.22293235821614352,0.2352220874268813,0.23447318373026765,0.2409360553505888,0.24308059050279895
Rank 1,D1-Frank-LC,LC,D1-Frank,Moderate,0.33651129068445773,0.3195987292829841,0.3155233409807927,0.33355125081202924,0.3324564816902469,0.3418872257389836,0.34500801161022887
