Ordinal Composite Type,True Settings,True Correlation,True Model,Component Prev Type,WH-Empirical,C1-Gaus-HC,D1-Gaus-HC,C1-Gaus-LC,D1-Gaus-LC,CD-0,Naive
Rank 2,D1-Gaussian-HC,HC,D1-Gaussian,High,0.1861428866745164,0.1863185065844964,0.18636805818871716,0.1860655511716052,0.18623474308043303,0.18560911018407433,0.30937569779886787
Rank 2,D1-Gaussian-LC,LC,D1-Gaussian,High,0.192774790452263,0.19299977014935857,0.19305157562249148,0.1927353082949841,0.19291219653712785,0.19225810180649056,0.32136588965454277
Rank 2,D1-Gaussian-HC,HC,D1-Gaussian,Low,0.08354011626814228,0.10145391571355532,0.10050521967391744,0.11373598017055842,0.11326062423319104,0.12513130510329296,0.24956306402033776
Rank 2,D1-Gaussian-LC,LC,D1-Gaussian,Low,0.12743967635986267,0.11023013427419022,0.10915248526395556,0.12419926049078146,0.12365807544923864,0.13718259004630387,0.2789071417287207
Rank 2,D1-Gaussian-HC,HC,D1-Gaussian,Moderate,0.24128659390463372,0.2641891655565608,0.26339940240178494,0.27818784106016814,0.278039214496154,0.2867438782452837,0.2911948683546497
Rank 2,D1-Gaussian-LC,LC,D1-Gaussian,Moderate,0.3548117217684051,0.3329162600917136,0.331907354477733,0.35074389705386877,0.3505551808572375,0.3615867357165335,0.3672106975273023
