Ordinal Composite Type,True Settings,True Correlation,True Model,Component Prev Type,WH-Empirical,D1-Clay-HC,D1-Gaus-HC,D1-Clay-LC,D1-Gaus-LC,CD-0,Naive
Rank 1,D1-Clayton-HC,HC,D1-Clayton,High,0.2553401771968917,0.2559632530359479,0.25554283417794976,0.25509763303040556,0.254489298761871,0.2520006281215571,0.343018980929233
Rank 1,D1-Clayton-LC,LC,D1-Clayton,High,0.24516157107590145,0.24782880803124324,0.24742357934048487,0.24699447077483117,0.24640813742722276,0.2440096098866484,0.3319068105578173
Rank 1,D1-Clayton-HC,HC,D1-Clayton,Low,0.0736750785852839,0.13633148343898152,0.11226181503310624,0.13899374943003193,0.1273987126655614,0.14151911698122355,0.28940520064122777
Rank 1,D1-Clayton-LC,LC,D1-Clayton,Low,0.1109459398718762,0.13681346294443028,0.11262515844001292,0.13948898155570677,0.1278363797417781,0.14202693603379915,0.2906324196472999
Rank 1,D1-Clayton-HC,HC,D1-Clayton,Moderate,0.25653164651226,0.3203653293424713,0.3046657243930233,0.32668450672737603,0.32100374612843813,0.33011026746326666,0.33312494583023256
Rank 1,D1-Clayton-LC,LC,D1-Clayton,Moderate,0.38905574052525366,0.3904632879082755,0.37143213296284594,0.3980877456098893,0.39123452164000216,0.40221233265785766,0.40583679973300457
