Ordinal Composite Type,True Settings,True Correlation,True Model,Component Prev Type,WH-Empirical,C1-Gaus-HC,D1-Gaus-HC,C1-Gaus-LC,D1-Gaus-LC,CD-0,Naive
Summation,D1-Gaussian-HC,HC,D1-Gaussian,High,0.2789828685143772,0.2959904253389875,0.2971304058638098,0.30562626049003827,0.3057411103345003,0.299835229162551,0.314435193029906
Summation,D1-Gaussian-LC,LC,D1-Gaussian,High,0.5154954494315144,0.4991058214834024,0.5009135554850863,0.5142851416716558,0.5144646793491557,0.5051899897757169,0.5279599858463241
Summation,D1-Gaussian-HC,HC,D1-Gaussian,Low,0.08373496863608826,0.10164562128800782,0.10070312878056688,0.11383166918512869,0.1133667753426186,0.12490706926216404,0.25044328151126827
Summation,D1-Gaussian-LC,LC,D1-Gaussian,Low,0.1291175269149736,0.11175341815690726,0.11066362270775423,0.12586381988270082,0.12532492102394877,0.1387129780404569,0.2842613103539431
Summation,D1-Gaussian-HC,HC,D1-Gaussian,Moderate,0.2576809534703531,0.2801555487599908,0.2794703791578828,0.29154304033597783,0.29149546800433057,0.2885232510123112,0.30514773121243244
Summation,D1-Gaussian-LC,LC,D1-Gaussian,Moderate,0.4770923105557589,0.4565593514277064,0.4554746519453949,0.4744450354489803,0.47437087856845433,0.4697283031876445,0.495455330926198
