Ordinal Composite Type,True Settings,True Correlation,True Model,Component Prev Type,WH-Empirical,C1-Gaus-HC,D1-Gaus-HC,C1-Gaus-LC,D1-Gaus-LC,CD-0,Naive
Summation,C1-Gaussian-HC,HC,C1-Gaussian,High,0.27975156582902155,0.2961805303417285,0.29732128663721735,0.30582288139383684,0.30593780832738765,0.3000279453906702,0.3146376862410053
Summation,C1-Gaussian-LC,LC,C1-Gaussian,High,0.5135751524740294,0.4971854288408388,0.4989886971536412,0.5123284862191354,0.512507611962915,0.5032547243467217,0.5259731191666963
Summation,C1-Gaussian-HC,HC,C1-Gaussian,Low,0.08324335202605014,0.10173734921687468,0.1007935305955862,0.11394072253479914,0.11347516229736246,0.12503210014877855,0.2507506802001328
Summation,C1-Gaussian-LC,LC,C1-Gaussian,Low,0.12927330376594837,0.1118288030824766,0.11073790090513826,0.12595366063439445,0.12541420598615574,0.13881613443301247,0.28451280427401604
Summation,C1-Gaussian-HC,HC,C1-Gaussian,Moderate,0.2561430175668982,0.27947634400414795,0.2787929841896236,0.29083399840196134,0.29078654974967155,0.2878220763287419,0.3044036675938891
Summation,C1-Gaussian-LC,LC,C1-Gaussian,Moderate,0.47718078631112304,0.45667472814007504,0.45558982336215786,0.47456367840285246,0.47448950845043875,0.4698461068184749,0.495577514278214
