Ordinal Composite Type,True Settings,True Correlation,True Model,Component Prev Type,WH-Empirical,D1-Gaus-HC,D1-Gaus-LC,CD-0,Naive
Rank 1,D2-HC,HC,D2,High,0.23347356379522263,0.2331245612967369,0.23217694497250596,0.2299388605922532,0.3122244719341997
Rank 1,D2-LC,LC,D2,High,0.23171536922348376,0.23300385956073863,0.2320568195079428,0.22982009801517472,0.31205774468767705
Rank 1,D2-HC,HC,D2,Low,0.08250336825668521,0.0950051415205315,0.10665853421211316,0.11748719230013834,0.23086966480533855
Rank 1,D2-LC,LC,D2,Low,0.12499526064310049,0.11091532322007248,0.1257770834317384,0.13963775255838687,0.2848539769635787
Rank 1,D2-HC,HC,D2,Moderate,0.2304879465697457,0.2533044797340823,0.2666857602825392,0.2741684185340982,0.2766495189596468
Rank 1,D2-LC,LC,D2,Moderate,0.35735070619136367,0.33645987272006234,0.3545072436515142,0.36454218702146673,0.36786024425546326
