Ordinal Composite Type,True Settings,True Correlation,True Model,Component Prev Type,WH-Empirical,D1-Clay-HC,D1-Gaus-HC,D1-Clay-LC,D1-Gaus-LC,CD-0,Naive
Rank 2,D1-Clayton-HC,HC,D1-Clayton,High,0.2055503551951127,0.2055900028738526,0.20561202580610288,0.20557565051605317,0.20546129945684877,0.20475394158821528,0.3437130173272883
Rank 2,D1-Clayton-LC,LC,D1-Clayton,High,0.19741017231280625,0.1978259816863816,0.19784698088425545,0.19781229650299492,0.19770326126549695,0.19702879301166956,0.32992741928909597
Rank 2,D1-Clayton-HC,HC,D1-Clayton,Low,0.07368489134540138,0.13638067776956722,0.11229467393176988,0.139044819464765,0.12744175344248102,0.1415719475009849,0.28953591982209287
Rank 2,D1-Clayton-LC,LC,D1-Clayton,Low,0.11099596573770212,0.136886815856878,0.11267620275130304,0.13956487762514802,0.12790134782834106,0.14210522638048181,0.2908246069507443
Rank 2,D1-Clayton-HC,HC,D1-Clayton,Moderate,0.2516918540975784,0.3162821793864192,0.30020402063764695,0.3230696171113693,0.3170533429134278,0.3270464021404784,0.3321485503491154
Rank 2,D1-Clayton-LC,LC,D1-Clayton,Moderate,0.38191686957538273,0.3831386095867737,0.3637254394481588,0.3912963768922556,0.3840666086528462,0.3960653775653088,0.402172193203788
