Ordinal Composite Type,True Settings,True Correlation,True Model,Component Prev Type,WH-Empirical,C1-Gaus-HC,D1-Gaus-HC,C1-Gaus-LC,D1-Gaus-LC,CD-0,Naive
Rank 1,D1-Gaussian-HC,HC,D1-Gaussian,High,0.230125036227269,0.23008379341375604,0.230080142220654,0.22914613174826545,0.22914707900653664,0.2269434113948048,0.3080162943522453
Rank 1,D1-Gaussian-LC,LC,D1-Gaussian,High,0.23853678964420968,0.2402043162724885,0.24020047643462616,0.2392181877977823,0.23921918404012077,0.23690144686660972,0.32198173537908825
Rank 1,D1-Gaussian-HC,HC,D1-Gaussian,Low,0.08346049497634254,0.10134208301636836,0.10039441721076368,0.11360005357980778,0.11312465305439724,0.12497140533857824,0.2491699522319563
Rank 1,D1-Gaussian-LC,LC,D1-Gaussian,Low,0.12732035979061654,0.11013794624997324,0.10906097755531977,0.12408610491215376,0.123544616388893,0.1370482326595093,0.27857831982198866
Rank 1,D1-Gaussian-HC,HC,D1-Gaussian,Moderate,0.2440077785489913,0.26671540787833187,0.26586122972562054,0.28031566983246325,0.2799851649916722,0.2878775262909486,0.2904935491792867
Rank 1,D1-Gaussian-LC,LC,D1-Gaussian,Moderate,0.3593787445972985,0.33845139598531226,0.33735391889902877,0.3558698780700675,0.3554478519874388,0.36550795715223705,0.3688342155057861
