Ordinal Composite Type,True Settings,True Correlation,True Model,Component Prev Type,WH-Empirical,D1-Fran-HC,D1-Gaus-HC,D1-Fran-LC,D1-Gaus-LC,CD-0,Naive
Rank 2,D1-Frank-HC,HC,D1-Frank,High,0.19529123509086951,0.19545311766442677,0.1954555956706624,0.1953246902347356,0.1953140394219864,0.1946497256473377,0.32566238510904155
Rank 2,D1-Frank-LC,LC,D1-Frank,High,0.1958274777269561,0.1961022625714438,0.1961047508617569,0.19597330213366623,0.19596260711579228,0.19529553574966244,0.32682103701733567
Rank 2,D1-Frank-HC,HC,D1-Frank,Low,0.08595489984594562,0.09734497735743218,0.08555076982503895,0.10080908725514634,0.0953486764832246,0.10442345293734186,0.19891891607077328
Rank 2,D1-Frank-LC,LC,D1-Frank,Low,0.1346518595953061,0.12849373192194133,0.11065076757342704,0.13376426213681256,0.12546190953875408,0.13927496004301326,0.2839784857677813
Rank 2,D1-Frank-HC,HC,D1-Frank,Moderate,0.2067081930668776,0.22627003860129227,0.2234319254705701,0.23633299165310703,0.23555096988932744,0.2427723091322651,0.24646958861266963
Rank 2,D1-Frank-LC,LC,D1-Frank,Moderate,0.3335519046480778,0.3157489040888056,0.3116377834492549,0.33027348641221244,0.3291477249298135,0.3395234267691155,0.34481819657067425
