Ordinal Composite Type,True Settings,True Correlation,True Model,Component Prev Type,WH-Empirical,C1-Gaus-HC,D1-Gaus-HC,C1-Gaus-LC,D1-Gaus-LC,CD-0,Naive
Rank 2,C1-Gaussian-HC,HC,C1-Gaussian,High,0.18576811318691788,0.1859583149327659,0.18600774487275193,0.185705980633579,0.1858747570981259,0.18525066053520944,0.3087274648592441
Rank 2,C1-Gaussian-LC,LC,C1-Gaussian,High,0.1930029048989443,0.19335780761490395,0.1934097337000845,0.19309273000636845,0.1932700301101824,0.19261441224999304,0.32200655398152284
Rank 2,C1-Gaussian-HC,HC,C1-Gaussian,Low,0.08305625739848138,0.10155411405397556,0.10060395610258116,0.11385530521323992,0.1133792028537798,0.12526864139512203,0.2498984877378868
Rank 2,C1-Gaussian-LC,LC,C1-Gaussian,Low,0.12773422066835283,0.11041700662194484,0.10933659339600516,0.12442229201703044,0.1238796963307692,0.1374396384254487,0.27953059817316706
Rank 2,C1-Gaussian-HC,HC,C1-Gaussian,Moderate,0.2399227081761161,0.2636635937741453,0.26287558685184065,0.27763141403236075,0.2774831122516678,0.28616886071447567,0.2906102645078791
Rank 2,C1-Gaussian-LC,LC,C1-Gaussian,Moderate,0.35895266653885405,0.33691211596227233,0.3358911928204047,0.35494831212868494,0.35475742666583693,0.3659143592885502,0.3716011002613752
