Ordinal Composite Type,True Settings,True Correlation,True Model,Component Prev Type,WH-Empirical,D1-Gaus-HC,D1-Gaus-LC,CD-0,Naive
Summation,D2-HC,HC,D2,High,0.26681762643350515,0.28085451618834345,0.2889630166598741,0.2834009594883482,0.2971560728536228
Summation,D2-LC,LC,D2,High,0.5212470599049481,0.5065206847163346,0.5201637661245344,0.5108268589414021,0.5337438957846908
Summation,D2-HC,HC,D2,Low,0.08286705855045348,0.09540690371022524,0.10702229591083512,0.11759239276066172,0.23243903255995357
Summation,D2-LC,LC,D2,Low,0.12622007264710652,0.11204291882699222,0.12698311649001995,0.14062894392960495,0.28892890332658994
Summation,D2-HC,HC,D2,Moderate,0.2482502684769038,0.2714361347687024,0.28308541726600933,0.2802055462325952,0.29631828964886797
Summation,D2-LC,LC,D2,Moderate,0.472625685014782,0.4513611749575274,0.470132844824547,0.4655200440794483,0.4910890984550432
